acq_date,lat,lon,frp
2026-04-27,36.35828,-114.91058,1.53
2026-04-27,36.38374,-114.87608,0.94
2026-04-27,36.38473,-114.8782,0.49
2026-04-27,37.88445,-121.18556,0.96
2026-04-27,38.01538,-122.11301,1.66
2026-04-27,33.49216,-117.61873,0.5
2026-04-27,34.35425,-116.85217,0.98
2026-04-27,34.60886,-117.33597,0.89
2026-04-27,34.62218,-117.1016,1.11
2026-04-27,34.25028,-117.48521,28.02
2026-04-27,34.25364,-117.48593,23.79
2026-04-27,34.2569,-118.82098,4.94
2026-04-27,34.25699,-117.48671,23.79
2026-04-27,34.4922,-119.80733,11.37
2026-04-27,36.8555,-119.90553,1.94
2026-04-27,37.81556,-120.80755,3.03
2026-04-27,39.08644,-121.66357,6.8
2026-04-27,39.36436,-121.30811,4.74
2026-04-27,39.38788,-121.65121,8.41
2026-04-27,40.07447,-122.14188,3.53
2026-04-22,34.35389,-116.85172,0.69
2026-04-22,34.60718,-117.339,1.45
2026-04-22,34.62093,-117.10044,1.76
2026-04-22,36.35759,-114.91262,1.32
2026-04-22,36.38238,-114.87567,0.5
2026-04-22,37.45577,-121.93267,0.64
2026-04-22,37.68659,-121.40806,1.24
2026-04-22,37.94204,-122.39116,0.99
2026-04-22,32.59964,-117.01131,0.92
2026-04-22,32.85677,-117.14757,0.94
2026-04-22,33.49097,-117.61545,0.49
2026-04-22,33.6117,-117.82211,0.52
2026-04-22,33.61508,-117.82146,0.24
2026-04-22,33.71404,-117.70992,0.62
2026-04-22,33.71741,-117.70921,0.62
2026-04-22,33.71923,-116.13875,0.77
2026-04-22,33.77779,-118.23772,0.94
2026-04-22,33.79201,-117.47451,0.98
2026-04-22,33.79535,-117.47378,0.94
2026-04-22,33.82067,-118.24286,1.61
2026-04-22,33.85429,-118.33255,1.7
2026-04-22,33.93123,-117.83833,1.35
2026-04-22,34.03543,-118.10719,0.55
2026-04-22,34.04081,-117.82247,0.54
2026-04-22,34.11457,-117.92493,0.51
2026-04-22,34.1525,-118.19525,1.06
2026-04-22,34.24335,-118.37955,0.34
2026-04-22,34.29281,-118.8018,0.89
2026-04-22,34.33356,-118.52049,2.06
2026-04-22,34.33468,-118.51811,2.11
2026-04-22,33.36219,-117.38065,4.27
2026-04-22,34.1547,-118.19168,3.35
2026-04-22,34.21175,-116.95394,20.33
2026-04-22,34.21236,-116.94978,5.43
2026-04-22,36.99753,-120.2915,2.9
2026-04-22,37.4866,-120.70585,2.59
2026-04-22,39.9833,-120.22009,6.76
2026-04-22,41.83615,-121.39366,34.14
2026-04-22,41.83945,-121.39465,34.14
2026-04-23,36.35703,-114.91232,1.49
2026-04-23,36.87372,-119.30078,3.97
2026-04-23,36.87416,-119.30647,3.97
2026-04-23,37.45395,-121.9342,0.61
2026-04-23,37.4552,-121.935,0.41
